apno,aptype,issued,value
REP19-9486514,REPAIR,2019-08-23T00:00:00.000,19230
REP19-9486512,REPAIR,2019-08-23T00:00:00.000,17368
REP19-9486473,REPAIR,2019-08-23T00:00:00.000,28264
REP19-9486468,REPAIR,2019-08-22T00:00:00.000,650
REP19-9486459,REPAIR,2019-08-21T00:00:00.000,9820
REP19-9486454,REPAIR,2019-08-21T00:00:00.000,6000
REP19-9486421,REPAIR,2019-08-21T00:00:00.000,3000
REP19-9486396,REPAIR,2019-08-20T00:00:00.000,10700
REP19-9486382,REPAIR,2019-08-20T00:00:00.000,8920
REP19-9486371,REPAIR,2019-08-20T00:00:00.000,2400
REP19-9486351,REPAIR,2019-08-20T00:00:00.000,2500
SWIM19-9485898,SWIM POOL,2019-08-19T00:00:00.000,500
REP19-9486328,REPAIR,2019-08-19T00:00:00.000,600
REP19-9486320,REPAIR,2019-08-19T00:00:00.000,19150
REP19-9486291,REPAIR,2019-08-19T00:00:00.000,19000
REP19-9486276,REPAIR,2019-08-19T00:00:00.000,13500
REP19-9486238,REPAIR,2019-08-16T00:00:00.000,762
REP19-9486226,REPAIR,2019-08-16T00:00:00.000,13500
REP19-9486224,REPAIR,2019-08-16T00:00:00.000,8500
REP19-9486204,REPAIR,2019-08-16T00:00:00.000,500
REP19-9486184,REPAIR,2019-08-15T00:00:00.000,28670
REP19-9486162,REPAIR,2019-08-15T00:00:00.000,10500
GC19-9475581,GC,2019-08-15T00:00:00.000,110000
REP19-9486128,REPAIR,2019-08-14T00:00:00.000,4500
REP19-9486101,REPAIR,2019-08-14T00:00:00.000,35822.25
REP19-9486087,REPAIR,2019-08-14T00:00:00.000,24285
REP19-9485966,REPAIR,2019-08-13T00:00:00.000,80060
REP19-9485114,REPAIR,2019-08-13T00:00:00.000,20390.12
SIGN19-9485922,SIGN,2019-08-12T00:00:00.000,8000
SIGN19-9485572,SIGN,2019-08-12T00:00:00.000,10000
REP19-9485988,REPAIR,2019-08-12T00:00:00.000,3200
REP19-9485982,REPAIR,2019-08-12T00:00:00.000,1500
REP19-9485936,REPAIR,2019-08-09T00:00:00.000,2500
REP19-9485932,REPAIR,2019-08-09T00:00:00.000,3000
REP19-9485847,REPAIR,2019-08-08T00:00:00.000,8221
REP19-9485841,REPAIR,2019-08-08T00:00:00.000,3750
REP19-9485808,REPAIR,2019-08-08T00:00:00.000,10000
REP19-9485785,REPAIR,2019-08-07T00:00:00.000,5000
REP19-9485778,REPAIR,2019-08-07T00:00:00.000,12975
REP19-9485739,REPAIR,2019-08-06T00:00:00.000,6987
REP19-9485738,REPAIR,2019-08-06T00:00:00.000,18500
REP19-9485727,REPAIR,2019-08-06T00:00:00.000,6000
GC19-9485293,GC,2019-08-05T00:00:00.000,24210
REP19-9485593,REPAIR,2019-08-04T00:00:00.000,10000
REP19-9485579,REPAIR,2019-08-02T00:00:00.000,19750
REP19-9485541,REPAIR,2019-08-02T00:00:00.000,10000
REP19-9485530,REPAIR,2019-08-01T00:00:00.000,18450
REP19-9485490,REPAIR,2019-08-01T00:00:00.000,16179
REP19-9485393,REPAIR,2019-07-30T00:00:00.000,16000
REP19-9484958,REPAIR,2019-07-29T00:00:00.000,74149
REP19-9485262,REPAIR,2019-07-26T00:00:00.000,17400
REP19-9485248,REPAIR,2019-07-26T00:00:00.000,12000
REP19-9485227,REPAIR,2019-07-26T00:00:00.000,1962.68
REP19-9485201,REPAIR,2019-07-26T00:00:00.000,11940
REP19-9485159,REPAIR,2019-07-25T00:00:00.000,5975
REP19-9485113,REPAIR,2019-07-24T00:00:00.000,8200
REP19-9485072,REPAIR,2019-07-24T00:00:00.000,8000
REP19-9485024,REPAIR,2019-07-23T00:00:00.000,8000
REP19-9485019,REPAIR,2019-07-23T00:00:00.000,19000
REP19-9484995,REPAIR,2019-07-22T00:00:00.000,6000
REP19-9484950,REPAIR,2019-07-22T00:00:00.000,16000
GC19-9479523,GC,2019-07-22T00:00:00.000,125900
REP19-9484920,REPAIR,2019-07-21T00:00:00.000,4900
REP19-9484914,REPAIR,2019-07-19T00:00:00.000,5000
REP19-9484861,REPAIR,2019-07-19T00:00:00.000,6000
REP19-9484670,REPAIR,2019-07-16T00:00:00.000,12000
REP19-9484660,REPAIR,2019-07-16T00:00:00.000,11700
REP19-9484580,REPAIR,2019-07-15T00:00:00.000,6000
REP19-9484567,REPAIR,2019-07-15T00:00:00.000,5000
REP19-9484536,REPAIR,2019-07-15T00:00:00.000,5800
REP19-9484539,REPAIR,2019-07-14T00:00:00.000,3000
REP19-9484505,REPAIR,2019-07-12T00:00:00.000,1000
REP19-9484497,REPAIR,2019-07-12T00:00:00.000,16000
REP19-9484465,REPAIR,2019-07-11T00:00:00.000,2000
REP19-9484424,REPAIR,2019-07-11T00:00:00.000,2500
REP19-9482984,REPAIR,2019-07-11T00:00:00.000,480
REP19-9484357,REPAIR,2019-07-10T00:00:00.000,13300
REP19-9484282,REPAIR,2019-07-09T00:00:00.000,14524
REP19-9484276,REPAIR,2019-07-09T00:00:00.000,1475
REP19-9484254,REPAIR,2019-07-09T00:00:00.000,1600
REP19-9484253,REPAIR,2019-07-09T00:00:00.000,4000
REP19-9484239,REPAIR,2019-07-09T00:00:00.000,10000
GC19-9483121,GC,2019-07-09T00:00:00.000,2000
GC19-9479688,GC,2019-07-09T00:00:00.000,22000
REP19-9484236,REPAIR,2019-07-08T00:00:00.000,18000
REP19-9484232,REPAIR,2019-07-08T00:00:00.000,10500
REP19-9484226,REPAIR,2019-07-08T00:00:00.000,2000
REP19-9484199,REPAIR,2019-07-08T00:00:00.000,10000
REP19-9483136,REPAIR,2019-07-03T00:00:00.000,11950
REP19-9483051,REPAIR,2019-07-02T00:00:00.000,2000
REP19-9483025,REPAIR,2019-07-02T00:00:00.000,16500
REP19-9482999,REPAIR,2019-07-01T00:00:00.000,1000
REP19-9482978,REPAIR,2019-07-01T00:00:00.000,12500
REP19-9479888,REPAIR,2019-06-28T00:00:00.000,3000
GC19-9479505,GC,2019-06-28T00:00:00.000,33668
REP19-9479771,REPAIR,2019-06-27T00:00:00.000,2500
REP19-9479769,REPAIR,2019-06-27T00:00:00.000,3393
REP19-9479768,REPAIR,2019-06-26T00:00:00.000,500
REP19-9479732,REPAIR,2019-06-25T00:00:00.000,2400
REP19-9479727,REPAIR,2019-06-25T00:00:00.000,19392
REP19-9479699,REPAIR,2019-06-25T00:00:00.000,8900
REP19-9479678,REPAIR,2019-06-24T00:00:00.000,3500
SIGN19-9479356,SIGN,2019-06-21T00:00:00.000,3900
REP19-9479576,REPAIR,2019-06-21T00:00:00.000,9000
REP19-9478172,REPAIR,2019-06-21T00:00:00.000,2200
REP19-9479561,REPAIR,2019-06-20T00:00:00.000,12000
REP19-9479486,REPAIR,2019-06-19T00:00:00.000,4000
REP19-9479465,REPAIR,2019-06-19T00:00:00.000,3100
REP19-9479409,REPAIR,2019-06-19T00:00:00.000,3340
REP19-9479297,REPAIR,2019-06-19T00:00:00.000,21440
SIGN19-9479230,SIGN,2019-06-18T00:00:00.000,3000
REP19-9479418,REPAIR,2019-06-18T00:00:00.000,3000
REP19-9479407,REPAIR,2019-06-18T00:00:00.000,1000
REP19-9479390,REPAIR,2019-06-18T00:00:00.000,4000
REP19-9479375,REPAIR,2019-06-17T00:00:00.000,4500
REP19-9479321,REPAIR,2019-06-17T00:00:00.000,5000
GC19-9472302,GC,2019-06-17T00:00:00.000,35000
REP19-9479303,REPAIR,2019-06-14T00:00:00.000,9996.5
REP19-9479294,REPAIR,2019-06-14T00:00:00.000,9500
REP19-9478178,REPAIR,2019-06-12T00:00:00.000,4795
REP19-9478145,REPAIR,2019-06-12T00:00:00.000,2100
REP19-9477457,REPAIR,2019-06-12T00:00:00.000,33000
REP19-9478044,REPAIR,2019-06-10T00:00:00.000,5228
GC19-9471611,GC,2019-06-10T00:00:00.000,18000
REP19-9477953,REPAIR,2019-06-07T00:00:00.000,3500
REP19-9477907,REPAIR,2019-06-06T00:00:00.000,3600
REP19-9477904,REPAIR,2019-06-06T00:00:00.000,1200
REP19-9477881,REPAIR,2019-06-06T00:00:00.000,13000
REP19-9477871,REPAIR,2019-06-06T00:00:00.000,15125
REP19-9477846,REPAIR,2019-06-06T00:00:00.000,10900
REP19-9477723,REPAIR,2019-06-04T00:00:00.000,3200
REP19-9477678,REPAIR,2019-06-03T00:00:00.000,16000
REP19-9477659,REPAIR,2019-06-03T00:00:00.000,56037
REP19-9477656,REPAIR,2019-06-03T00:00:00.000,18100
REP19-9477626,REPAIR,2019-06-03T00:00:00.000,7000
REP19-9477611,REPAIR,2019-06-01T00:00:00.000,4000
REP19-9477610,REPAIR,2019-05-31T00:00:00.000,7000
REP19-9477604,REPAIR,2019-05-31T00:00:00.000,500
REP19-9477602,REPAIR,2019-05-31T00:00:00.000,12500
REP19-9477591,REPAIR,2019-05-31T00:00:00.000,4500
REP19-9477582,REPAIR,2019-05-31T00:00:00.000,12700
REP19-9477581,REPAIR,2019-05-31T00:00:00.000,18500
REP19-9477562,REPAIR,2019-05-31T00:00:00.000,21000
GC18-9464931,GC,2019-05-31T00:00:00.000,750
REP19-9477552,REPAIR,2019-05-30T00:00:00.000,5000
REP19-9477494,REPAIR,2019-05-30T00:00:00.000,7820
REP19-9477492,REPAIR,2019-05-30T00:00:00.000,9500
REP19-9477487,REPAIR,2019-05-30T00:00:00.000,6800
REP19-9477481,REPAIR,2019-05-29T00:00:00.000,15750
REP19-9477479,REPAIR,2019-05-29T00:00:00.000,350
REP19-9477469,REPAIR,2019-05-29T00:00:00.000,1000
REP19-9477454,REPAIR,2019-05-29T00:00:00.000,7651
REP19-9477402,REPAIR,2019-05-28T00:00:00.000,2000
REP19-9477376,REPAIR,2019-05-28T00:00:00.000,19200
REP19-9477359,REPAIR,2019-05-27T00:00:00.000,18000
REP19-9477348,REPAIR,2019-05-24T00:00:00.000,12500
REP19-9477283,REPAIR,2019-05-23T00:00:00.000,19940
REP19-9477248,REPAIR,2019-05-23T00:00:00.000,13300
REP19-9477236,REPAIR,2019-05-23T00:00:00.000,13500
REP19-9477226,REPAIR,2019-05-22T00:00:00.000,13000
REP19-9477207,REPAIR,2019-05-22T00:00:00.000,7000
REP19-9477202,REPAIR,2019-05-22T00:00:00.000,3500
REP19-9477158,REPAIR,2019-05-22T00:00:00.000,15800
REP19-9477130,REPAIR,2019-05-21T00:00:00.000,12560
REP19-9476977,REPAIR,2019-05-20T00:00:00.000,19900
REP19-9476967,REPAIR,2019-05-20T00:00:00.000,18500
REP19-9476951,REPAIR,2019-05-20T00:00:00.000,7400
REP19-9476949,REPAIR,2019-05-20T00:00:00.000,12965
REP19-9476947,REPAIR,2019-05-20T00:00:00.000,16600
REP19-9476946,REPAIR,2019-05-19T00:00:00.000,3500
REP19-9476936,REPAIR,2019-05-17T00:00:00.000,4700
REP19-9476877,REPAIR,2019-05-17T00:00:00.000,25000
REP19-9476795,REPAIR,2019-05-17T00:00:00.000,10398
GC19-9475971,GC,2019-05-16T00:00:00.000,68001.15
REP19-9476747,REPAIR,2019-05-14T00:00:00.000,19680
GC19-9475192,GC,2019-05-15T00:00:00.000,35927.32
REP19-9476709,REPAIR,2019-05-13T00:00:00.000,4200
REP19-9476678,REPAIR,2019-05-13T00:00:00.000,27000
REP19-9475180,REPAIR,2019-05-13T00:00:00.000,6250
